gene_symbol,chembl_id,priority,relb_logfc,n_ligands
KLKB1,CHEMBL2000,medium,-1.748,3592
CYP19A1,CHEMBL1978,medium,-2.4387,2991
MMP13,CHEMBL280,high,-2.5967,2829
PRL,CHEMBL2014,medium,-2.6712,2612
GNAL,CHEMBL4026,medium,-1.5008,1163
ABCG2,CHEMBL5393,high,-2.3675,1045
AKR1C3,CHEMBL4681,medium,-1.7778,1009
TRAC,CHEMBL1825,high,-2.1398,905
PPARA,CHEMBL239,medium,-1.5202,889
CYP17A1,CHEMBL3522,medium,-3.2123,729
MMP12,CHEMBL4393,high,-3.1162,712
HSD17B2,CHEMBL2789,medium,-1.5784,671
ALB,CHEMBL2083,high,-4.794,603
CYP1A1,CHEMBL2231,high,-2.4032,569
ANPEP,CHEMBL1907,high,-3.2884,446
PLA2G7,CHEMBL3514,medium,-1.5452,437
GIF,CHEMBL2085,medium,-1.8705,399
LIPC,CHEMBL2127,high,-3.6761,378
CES1,CHEMBL2265,high,-4.4582,350
MGAM,CHEMBL2074,high,-3.7579,313
P2RX4,CHEMBL2104,medium,-1.5104,291
TNNI3,CHEMBL5260,high,-2.4073,212
ALPI,CHEMBL5573,high,-4.6812,163
FABP1,CHEMBL3344,high,-5.8479,128
HP,CHEMBL1861,high,-2.9599,113
CMKLR1,CHEMBL3540,medium,-1.9455,103
